SlGeneID,Sl_COR,Sl_EN,Sl_EP,Sl_MCO,Sl_MZ,Sl_PH,Sl_V,Sl_QC,Sl_35S
Solyc00g005000.3.1,2.250839753,2.462026628,3.142943834,16.61511209,14.46193521,13.57724512,48.28342942,10.62698207,28.68640851
Solyc00g005040.3.1,0,0,0.14476588,0,0,0,0,0,0
Solyc00g005050.3.1,47.62465598,25.92487527,46.33439093,27.52838429,33.16509991,23.36921011,86.15549766,50.23839258,51.98342189
Solyc00g005060.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005080.2.1,0,0,0,0,3.100187126,0,0,0,0
Solyc00g005084.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005090.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005092.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005094.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005096.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005280.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005283.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005285.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005287.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005430.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005440.2.1,0,1.113134145,0,0,0.637754255,0,0,0,0
Solyc00g005445.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005450.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005460.2.1,0,0,0,0,0,0,0,0,0
Solyc00g005470.2.1,0,0,0,0,0,0,0,0,0
Solyc00g005480.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005840.3.1,5.264925536,0.65104659,0.04152149,0.241540632,0.02933724,0.501061304,0,0,1.528659113
Solyc00g005850.2.1,0,0,0,0,0,0,0,0,0
Solyc00g005890.3.1,0,0,0,0,0,0,0,0,0
Solyc00g005900.2.1,0,0,0,0,0,0,0,0,0
Solyc00g006020.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006090.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006170.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005903.1.1,0,0,0,0,0,0,0,0,0
Solyc00g005907.1.1,0,0.039716993,0.145190667,0,0.045581263,1.430728506,0.059382507,0.957226088,0
Solyc00g006480.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006483.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006487.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006490.3.1,22.18348301,60.49108778,24.35614687,42.64821646,16.27332267,22.58193289,21.50399405,16.57080494,14.88996794
Solyc00g006500.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006510.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006520.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006530.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006540.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006550.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006560.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006590.2.1,0,0,0,0,0,0,0,0,0
Solyc00g006650.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006655.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006660.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006680.2.1,3.733540679,11.85168668,3.007840948,0,6.562702164,5.918940085,0,31.69419201,4.388802749
Solyc00g006683.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006800.3.1,262.7941352,64.50680392,147.196596,124.6804017,201.9235282,75.76471454,147.0149656,89.05115523,237.8895467
Solyc00g006805.1.1,8.332699123,0,0.568634322,0,0,0,0,0,0.294075635
Solyc00g006810.3.1,17.85681917,2.300662027,9.048687025,2.892211458,2.693380094,10.41706165,0.256955618,0.85068915,3.814909366
Solyc00g006820.3.1,0.865999239,0,0,0.628901308,0,0,0.125183353,0,0.952933297
Solyc00g006830.3.1,17.18749245,18.88089187,21.04980776,15.08341454,15.47814118,13.47135627,34.88242571,6.03942381,15.14267066
Solyc00g006840.3.1,0,0,0,0,0,0,0,0,0
Solyc00g006850.2.1,0,0,0,0,0,0,0,0,0
Solyc00g006860.2.1,0,0,0,0,0,0,0,0,0
Solyc00g006867.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006870.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006880.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006890.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006900.1.1,0,0,0,0,0,0,0,0,0
Solyc00g006903.1.1,0,0.109644879,0,0,0,0.118512118,0,0.477483195,0
Solyc00g006907.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007550.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007560.2.1,0,0,0,0,0,0,0,0,0
Solyc00g007555.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007570.2.1,0,0,0,0,0,0,0,0,0
Solyc00g007600.2.1,0,0,0,0,0,0,0,0,0
Solyc00g007910.1.1,0,0,0.134543168,0,0,0,0,0,0
Solyc00g007920.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007925.1.1,0,0,0,0,0,0,0,0,0.02916272
Solyc00g007930.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007950.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007960.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007970.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007980.1.1,0,0,0,0,0,0,0,0,0
Solyc00g007990.1.1,0,0,0,0,0,0,0,0,0
Solyc00g008000.1.1,0,0,0,0,0,0,0,0,0
Solyc00g008010.1.1,0,0,0,0,0,0,0,0,0
Solyc00g008020.1.1,0,0,0,0,0,0,0,0,0
Solyc00g008030.1.1,0,0,0,0,0,0,0,0,0
Solyc00g008040.1.1,0,0,0,0,0,0,0,0,0
Solyc00g008050.1.1,0,0,0,0,0,0,0,0,0
