,MCO,EN,V,MZ,QC,X35S
Os01g0100100,10.45093325,9.759291692,10.20842972,6.385777073,8.98746652,8.455695408
Os01g0100200,1.076941362,1.363350008,0,0.403559097,0.403493498,0.190983476
Os01g0100300,0,0.248745598,0.610179019,0,0,0.154880451
Os01g0100400,5.356105335,3.286339303,3.844785438,4.217444004,5.546849811,2.792108425
Os01g0100466,0.122869424,0,0.361237107,0,0,0.156853551
Os01g0100500,8.188705681,8.530885901,7.241085984,11.44162325,9.359033092,10.67947899
Os01g0100600,13.00749959,17.52910161,9.961304016,4.114294231,4.609148854,4.853177854
Os01g0100650,3.8494036,3.205395543,11.59927412,1.207626738,0.768255746,0.663207779
Os01g0100700,48.02726359,45.07524745,59.25535842,80.44784914,82.23442658,38.21418952
Os01g0100800,10.03388063,9.504904496,9.142693558,2.538452663,4.392020421,3.329322511
Os01g0100900,41.34399172,40.79567741,44.13240159,58.82564851,42.80752251,100.1405636
Os01g0101150,0,0.710137217,0.333768837,0.237584539,0.17319664,0.271736878
Os01g0101175,0.396297713,0,0,0.312504693,0.073253152,0.194787727
Os01g0101200,6.744420989,4.328426579,2.736681261,4.130551902,8.673622922,21.5529707
Os01g0101300,4.521874522,3.717180891,2.491154816,4.437717425,3.600313709,5.020681137
Os01g0101600,10.28436988,10.55695563,9.330222921,4.931514044,5.755536015,5.239778699
Os01g0101700,4.95284924,5.195796068,1.855624223,5.273998649,6.064224713,8.998749949
Os01g0101800,2.515180533,0.930163632,3.276153489,4.171659278,2.643565492,0.2789281
Os01g0101850,0.362375775,0,0,0.133951787,0,0.052733843
Os01g0101900,0,0,0,1.105392966,0.717610767,0
Os01g0102000,0.99804331,1.398760924,0.878309348,2.852031422,0.700845593,2.094790197
Os01g0102300,3.492435327,2.915362984,1.900575122,1.051246792,1.260517567,3.343852437
Os01g0102400,0,0,0.28286758,0.049110273,0,0
Os01g0102500,4.227385348,7.473899913,5.393319393,5.64285429,5.620873501,5.08063184
Os01g0102600,3.544033536,9.628029144,8.594294501,3.673600927,2.76090672,17.26299192
Os01g0102700,31.06740896,32.1916995,39.64764324,78.5775713,97.67996172,59.28657374
Os01g0102800,6.106043286,5.329539869,4.277155815,2.243589558,3.538061105,2.68066921
Os01g0102850,1.789216628,2.593964981,1.109138025,0.349600646,0.382217267,0.233745509
Os01g0102900,12.45917228,24.65878869,37.56189404,16.65803384,17.33080415,391.1838847
Os01g0103000,8.632461404,8.552157785,4.680767174,9.558884322,14.76725085,2.115435675
Os01g0103050,0.35144957,0.314195675,0.16294552,0.130823578,0.058970005,0
Os01g0103075,0,0.214061279,0.863876968,0.094106374,0.263978027,0.168451769
Os01g0103100,0,1.323294576,0,0.27010932,0,0.096575288
Os01g0103400,3.054821184,3.941525918,2.615820692,1.499392165,0.928516122,0.368661221
Os01g0103600,19.3840941,18.36304653,17.83943431,34.30162436,33.32089135,32.9970052
Os01g0103650,0,0.515100391,0.129863642,0,0,0
Os01g0103700,3.123736439,4.177172168,2.09855741,0.616521081,1.070594101,0.473446833
Os01g0103800,8.512717447,10.95841019,6.78108146,7.625479567,11.76976315,3.467356329
Os01g0103900,0.377883319,1.280515013,0.873627781,0.516345814,0.469429815,0.283913545
Os01g0104000,2.311507699,2.523694401,2.892399446,3.913363306,7.175975819,6.265751378
Os01g0104100,9.688282781,14.78725743,5.424335657,15.60323042,12.63443328,24.2018132
Os01g0104200,1.268318471,1.582891038,1.201183738,3.253369219,1.625691804,0.29624159
Os01g0104350,8.586922491,11.24777777,4.817291803,1.469451572,2.321903707,0.689636253
Os01g0104400,54.77235751,44.34673319,50.68402357,148.2777181,86.63837517,177.3000076
Os01g0104500,0,0,0,0.169842831,0.09971996,0
Os01g0104600,6.88349561,5.601072427,3.866401273,3.949265648,3.574568027,4.896355116
Os01g0104800,17.01511179,15.54621872,18.14700603,15.81729947,17.26296316,15.46140143
Os01g0104900,76.53554225,89.60971189,79.32615671,45.60366561,95.94899056,24.88479023
Os01g0105300,0.298443613,0.62565978,0,0.07738065,0,0
Os01g0105400,31.88119035,31.83035736,32.16282477,5.109108601,7.681463282,2.29089466
