X,MCO,EN,V,MZ,QC,X35S,MUSuniq
Os12g0641500,18.45771906,21.56297046,19.29999116,17.76637699,21.00729802,20.35098957,LOC_Os12g44390
Os12g0641400,20.62042254,25.33093665,27.13572097,42.30700424,39.07684355,45.34768393,LOC_Os12g44380
Os12g0641300,2.705248478,6.206550673,3.616084682,7.101465647,1.922866453,18.42920977,LOC_Os12g44370
Os12g0641100,52.46316627,50.29939065,44.48960377,32.30302909,17.22760295,44.70938552,LOC_Os12g44360
Os12g0640900,18.17824322,16.02442843,21.73621303,17.8022278,38.2198506,12.05249595,LOC_Os12g44340
Os12g0640800,106.265294,100.8707007,46.0964514,59.17402196,28.36695107,15.46388279,LOC_Os12g44330
Os12g0640700,8.079620877,8.073815956,4.98988238,9.440355788,4.917483513,5.591184449,LOC_Os12g44320
Os12g0640600,15.41491462,16.61291866,14.37466674,27.1806865,22.13585613,64.65938392,LOC_Os12g44310
Os12g0639800,3.485171665,4.825633346,3.225157766,6.727715743,1.186045513,14.04733289,LOC_Os12g44250
Os12g0639700,18.24153744,21.45081204,22.00629396,7.838653241,11.97625062,7.505885034,LOC_Os12g44240
Os12g0639600,11.78042123,8.346431709,8.633322063,26.39568285,7.410980805,51.62761354,LOC_Os12g44230
Os12g0639500,2.572390552,1.13651476,1.015485498,5.317975697,0.788086453,14.19840832,LOC_Os12g44220
Os12g0639200,9.147297324,11.93606546,5.286581613,26.27745563,2.902941715,22.68107404,LOC_Os12g44190
Os12g0639100,4.274969433,6.582373943,8.619350262,7.886069818,11.38679936,10.21666764,LOC_Os12g44180
Os12g0638900,5.488718571,6.347285274,5.582445183,7.241544257,7.54149221,6.362520361,LOC_Os12g44170
Os12g0638800,2.592788066,2.138217432,2.257889172,0.584357732,1.079607248,0.543568197,LOC_Os12g44160
Os12g0638700,42.21307614,39.80655249,42.43413352,55.66977386,86.73533079,32.6394342,LOC_Os12g44150
Os12g0638600,6.771348921,5.625370569,4.493035426,8.408074974,7.94435392,8.525770342,LOC_Os12g44140
Os12g0638400,1.399314593,2.103231221,0.747069899,2.549088088,3.093036161,1.383401306,LOC_Os12g44130
Os12g0638300,0.592911101,0.513126738,0.134602136,1.139331035,1.536918787,3.262079663,LOC_Os12g44110
Os12g0638100,4.677629352,3.590030733,4.389998822,4.701179201,19.73421839,0.92801866,LOC_Os12g44090
Os12g0637700,1.971235196,0.659755529,1.20749603,4.818427701,3.255283966,4.8719943,LOC_Os12g44060
Os12g0637300,5.384336085,6.643444477,4.393486773,0.688534705,1.354246548,0.459418769,LOC_Os12g44040
Os12g0637200,0.359798533,2.67236898,2.29214108,0.9458486,0.680908168,2.002097369,LOC_Os12g44030
Os12g0637100,21.00220013,20.89255389,20.32666186,61.14331056,8.87626623,84.90567723,LOC_Os12g44020
Os12g0636800,18.63744889,24.06852733,27.19278383,22.89204692,11.24528324,30.66598719,LOC_Os12g44000
Os12g0636400,8.27769557,6.001639989,9.615989137,8.299815849,2.409394949,10.75477411,LOC_Os12g43970
Os12g0636200,45.71779451,50.85959965,41.80666887,39.01192959,28.70408652,64.93395546,LOC_Os12g43950
Os12g0636000,6.475550173,6.173546057,9.404365853,13.61401124,16.2628696,20.22966835,LOC_Os12g43930
Os12g0635700,0.681476676,0.612289871,0.946157049,1.643319998,0.630446474,3.764738742,LOC_Os12g43890
Os12g0635500,2.529669849,6.981162757,1.895459535,2.810651992,1.411515607,11.47573552,LOC_Os12g43880
Os12g0634800,3.590971779,2.879561991,5.319429684,7.278607036,5.395263906,3.035421833,LOC_Os12g43830
Os12g0634500,1.080780863,3.059400644,3.884779946,2.598696158,1.487643466,3.450588529,LOC_Os12g43790
Os12g0634000,1.084714528,4.596843535,0.692184355,6.036204318,0.674321357,10.32198232,LOC_Os12g43750
Os12g0633700,9.59383585,8.970644553,8.280390338,0.771983743,1.608686982,0.238675822,LOC_Os12g43730
Os12g0633600,1.219217985,1.117641867,1.535617954,0.578099758,4.879046236,0.349739054,LOC_Os12g43720
Os12g0633200,10.11334189,11.17086247,9.907844984,11.47421519,9.605580719,1.639214076,LOC_Os12g43670
Os12g0632900,1.789973484,2.019399937,0.918196076,3.889504713,0.704832669,8.544738977,LOC_Os12g43660
Os12g0632800,4.40476303,3.210980165,3.179246773,9.04509859,2.036001875,21.0916547,LOC_Os12g43640
Os12g0632700,47.79220707,52.8319661,55.0955763,159.4571942,71.56391744,176.019048,LOC_Os12g43630
Os12g0632600,48.21054081,41.16237829,27.38987476,29.25824278,10.26834728,17.91955746,LOC_Os12g43620
Os12g0632000,1902.743079,1991.082184,1831.713945,1011.289431,1121.480379,1441.192222,LOC_Os12g43600
Os12g0631800,5.194159212,8.852924914,8.258763172,8.434275285,8.655579542,5.273779217,LOC_Os12g43590
Os12g0631600,5.352453647,4.028383804,4.151548315,6.936687231,1.280045276,12.79834271,LOC_Os12g43580
Os12g0631200,24.58693013,28.51533807,29.42220827,13.36290523,21.65602479,9.960758745,LOC_Os12g43560
Os12g0631100,17.89663742,14.96916036,20.39571479,71.3388207,56.51012206,75.72154215,LOC_Os12g43550
Os12g0630800,0,1.693900863,1.137454805,1.345438204,0.58140272,6.423620173,LOC_Os12g43530
Os12g0630700,34.2322793,44.35664404,38.94544374,9.527339361,15.26946713,11.92386918,LOC_Os12g43520
Os12g0630600,39.81861801,51.78675935,33.98925363,24.58772015,24.78917919,29.23028223,LOC_Os12g43510
Os12g0630500,7.224214043,10.42425538,9.655839093,48.20069935,14.195934,153.605963,LOC_Os12g43490
Os12g0630100,0.640668166,1.148169403,0,2.665768016,0.377627072,14.98075327,LOC_Os12g43440
Os12g0628600,19.77873065,18.83831669,18.34089345,82.32396092,8.199702773,1411.212283,LOC_Os12g43380
Os12g0628500,21.7651288,23.16653629,25.6939911,47.94155623,48.64641999,52.82794627,LOC_Os12g43370
Os12g0628400,4.121280229,2.75625343,6.645640948,9.708829075,4.780610995,0.827347852,LOC_Os12g43363
Os12g0628300,8.985675604,6.738514887,4.365911156,2.817643858,6.002108106,1.623812056,LOC_Os12g43350
Os12g0628100,1.478785763,2.029378285,4.623549258,5.422258946,0.822185704,4.820726992,LOC_Os12g43340
Os12g0626400,11.26764331,10.17097146,7.217829194,6.854070888,6.861454926,17.37265525,LOC_Os12g43130
Os12g0626300,2.004096656,3.189249699,1.691278297,1.647133431,2.578351838,1.325166783,LOC_Os12g43120
Os12g0626200,0,0.603984,2.150085486,0.2634461,0,0.200604992,LOC_Os12g43110
Os12g0626100,9.713662199,11.3167362,6.996268974,5.112313491,6.181412185,4.414086625,LOC_Os12g43100
