AtGeneID,At_RT_35S,At_RT_V,At_RT_EN,At_MZ,At_EP,At_PH,At_MCO,At_COR
AT1G01010,41.14,39.61,48.18,75.97,94.82,73.93,85.1,224.85
AT1G01040,187.07,525.38,690.9,142.56,620.3,482.23,518.6,227.61
AT1G01050,1561.94,992.44,1039.57,1436.93,1449.53,1731.16,1854.26,943.28
AT1G01060,163.57,227.98,345.8,143.65,206.97,172.23,190.24,424.18
AT1G01070,261.06,148.69,110.75,440.45,304.07,423.56,223.71,79.34
AT1G01080,91.79,82.81,65.72,57.02,54.8,39.33,39.78,61.27
AT1G01090,2923.98,3869.47,7284.66,2930.03,2660.21,3511.41,3341.98,2054.39
AT1G01100,1125.64,2919.85,1252.56,4493.58,3497.9,2730.66,4355.68,2815.85
AT1G01110,43.89,54.13,137.02,37.36,62.32,89.36,60.18,40.82
AT1G01120,209.84,526.96,852.08,450.33,427.34,404.01,482.29,257.47
AT1G01140,30.73,24.05,41.8,18.16,26.11,22.23,22.99,41.48
AT1G01160,386.2,397.38,233.37,201.42,179.71,155.52,169.41,153.87
AT1G01170,96.59,68.58,36.64,387.74,422.44,216.74,158.01,342.98
AT1G01180,39.11,45.3,49.46,28.98,31.94,34.65,35.17,32.52
AT1G01190,179.31,66.78,96,405.84,1340.26,3923.04,211.62,401.25
AT1G01200,143.72,182.65,112.33,208.61,179.98,168.01,164.52,75.62
AT1G01220,242.58,514.65,501.97,212.78,301.34,303.6,422.52,280.48
AT1G01225,86.25,120.03,144.25,93.66,80.68,68.73,91.29,41.97
AT1G01230,545.43,345.77,343.51,606.77,474.41,457.98,450.89,674.71
AT1G01240,551.42,557.64,425.58,773.61,530.45,378.17,486.29,465.62
AT1G01250,25.55,27.34,29.45,26.06,27.63,25.02,25.56,27.53
AT1G01260,136.76,195.22,228.43,155.35,178.13,166.71,208.3,170.24
AT1G01290,175.79,192.91,105.94,269.11,237.36,238.41,229.27,214.57
AT1G01300,1387.84,1227.5,728.84,1919.95,1567.26,1791.88,1452.17,750.11
AT1G01320,39.92,44.74,48.19,51.51,57.53,55.08,58.19,67.75
AT1G01340,153.55,116.24,405.37,106.01,140.47,159.54,159.19,172.54
AT1G01360,136.05,100.34,82.26,370.39,277.18,263.08,192.26,508.53
AT1G01370,30.58,31.65,31.23,39.24,35.75,26.03,33.8,24.27
AT1G01380,26.68,24.38,27.8,33.01,32.69,32.41,34.21,25.72
AT1G01390,20.52,17.01,19.61,17.96,16.85,18.14,17.86,20.07
AT1G01420,53.04,55.97,46.7,69.13,86.56,54.56,71.27,177.05
AT1G01430,303.54,529.97,487.39,214.61,358.54,319.23,305.83,476.95
AT1G01440,62.35,49.12,44.41,78.5,54.8,76.07,71.03,117.92
AT1G01470,1123.7,704.88,301.92,2794.75,7623.16,13186.57,1343.24,1486.1
AT1G01480,66.04,69.73,161.25,39.83,43.62,54.56,57,38.66
AT1G01490,678.24,1396.91,847.11,1117.01,1845.33,814.61,1448.3,2354.32
AT1G01500,341.34,314.84,382.35,319.1,268.07,327.93,242.2,445.08
AT1G01510,282.6,374.73,399.63,568.16,398.97,538.59,526.75,361
AT1G01520,17.28,19.53,20.32,15.33,17.59,17.14,17.01,17
AT1G01540,424.33,394.07,497.17,317.34,324.68,357.5,437.53,454.9
AT1G01550,962.25,1021.3,1244.76,1350.49,1268.21,1300.92,1408.76,1675.88
AT1G01560,30.14,27.9,29.66,31.96,29.99,30.72,32.56,37.67
AT1G01570,61.41,54.72,176.88,81.55,49.37,63.22,79.87,35.81
AT1G01600,49.37,53.65,222.69,60.49,65.74,68.65,131.64,45.8
AT1G01610,135.32,134.02,437.61,134.04,126.76,77.81,139.04,59.5
AT1G01620,8279.64,9746.96,7912.21,8336.2,5169.22,5987,4657.73,6527.56
AT1G01630,700.15,797.66,781.57,800.99,848.35,503.68,1130,1185.34
AT1G01640,759.3,469.28,167.05,1472.13,715.34,905.17,358.04,187.75
AT1G01650,677.19,460.05,478.52,290.35,256.06,289.59,273.93,302.71
AT1G01660,45.78,102.86,107.67,27.26,36.5,37.94,44.59,25.4
AT1G01670,83.66,86.53,124.11,51.06,73.31,65.33,81.76,86.31
AT1G01700,19.28,16.97,17.09,22.1,17.23,16.47,16.44,17.04
AT1G01710,582.61,792.48,599.32,368.21,402.64,379.26,412.62,395.36
AT1G01720,325.47,583.2,580.69,791.89,1093.48,777.37,1130.74,882.35
AT1G01725,67.79,63.98,49.39,107.36,146.15,139.71,95.82,80.58
AT1G01730,491.82,363.09,345.71,448.75,614.8,440.93,527.73,360.89
AT1G01740,68.95,53.89,57.96,54.48,58.69,69.31,51.72,65.19
AT1G01750,209.62,407.57,290.4,178.93,358.44,497.69,1167.94,99.78
AT1G01770,111.75,89.27,170.19,68.53,133.3,174.82,153.86,58.64
AT1G01780,289.19,271.42,279.87,288.99,319.37,569.47,254.07,118.62
AT1G01790,495.67,568.06,874.7,267.57,284.08,244.09,304.41,319
AT1G01800,1370.24,1025.53,794.93,1674.6,1624.33,2227.82,1604.25,2417.35
AT1G01820,366.04,314.09,285.85,520.51,453.82,403.67,387.7,732.49
AT1G01830,74.01,100.96,73.11,89.31,86.12,75.93,93.09,134.95
AT1G01840,82.15,90.7,94.64,85.32,91.81,89.81,83.59,63.84
AT1G01860,116.81,100.53,87.11,99.29,87.25,89.52,79.73,86.04
AT1G01900,404.08,432.64,179.55,439.02,88.51,89.47,90.04,93.5
AT1G01910,242.51,242.66,246.61,516.51,293.21,377.19,338.32,499.55
AT1G01920,135.72,156.06,124.48,83.25,86.9,74.08,83.79,59.51
AT1G01930,132.86,148.18,229.11,175.64,215.76,208.31,189.41,187.73
AT1G01940,398.74,209.46,180.99,763.72,556.06,660.4,703.65,381.99
AT1G01950,411.67,430.97,461.78,245.92,264.62,173.44,208.47,225.9
AT1G01960,543.52,520.25,561.83,643.52,355.13,636.72,361.8,686.83
AT1G01970,149.47,161.2,134.49,187.77,130.79,192.44,273.82,130.06
AT1G01990,82.74,104.37,77.56,121.53,143.53,126.75,116.42,96.71
AT1G02000,93.79,132.5,148.51,114.2,78.3,90.31,101.8,166.68
AT1G02020,276.7,661.51,373.2,123.72,227.54,244.94,299.51,161.21
AT1G02050,41.89,70.16,62.51,37.81,38.69,44.14,70.43,36.93
AT1G02080,1271.37,1403.16,1954.48,582.36,552.86,678.23,651.17,588.06
AT1G02090,167.58,117.31,129.96,158.72,99.8,104.18,79.65,99.57
AT1G02100,95.1,128.85,196.44,153.54,125.1,156.58,164.1,173.7
AT1G02110,242.5,506.71,284.59,110.81,279.7,167.37,228.79,63.02
AT1G02120,187.24,237.94,233.79,225.55,419.69,242.15,346.19,311.32
AT1G02130,433.5,355.49,307.5,722.18,531.02,549.54,473.66,597.25
AT1G02140,588.46,437.02,391.31,1547.22,1084.55,893.48,984.46,1087.8
AT1G02150,173.62,172.71,234.57,219.85,201.18,210.63,155.59,179.9
AT1G02160,355.61,262.41,247.38,407.29,573.8,323.11,386.33,307.57
AT1G02170,585.42,1047.09,820.21,484.33,569.85,916.02,582.06,768.62
AT1G02180,201.57,123.49,117.54,155.67,133.97,99.39,115.19,99.43
AT1G02205,46.63,67.88,90.01,35.53,50.84,40.59,42.69,42.62
AT1G02220,20.07,22.95,25.26,37.99,101,302.17,87.29,51.75
AT1G02230,20.4,23.47,21.92,18.04,23.91,19.58,20.58,19.31
AT1G02260,311.22,951.1,1189.06,116.69,365.84,214.44,316.74,363.65
AT1G02270,122.31,97.07,117.22,240.48,208.17,224.44,200.78,357.43
AT1G02280,219.74,141.79,77.65,243.43,122.59,95.68,128.55,115.8
AT1G02300,95.87,160.02,134.01,81.63,229.49,134,276.18,133.91
AT1G02305,1189.02,812.43,909.49,1739.72,843.33,1297.13,836.74,2087.72
AT1G02310,97.29,128.47,189.08,52.56,239.29,120.5,196.34,263.64
AT1G02330,499.6,578.97,584.96,873.22,956.73,977.56,1135.4,660.57
AT1G02340,76.27,73.66,88.46,53.74,74.74,72.84,85.73,192.54
AT1G02360,377.21,297.79,611.71,338.92,400.42,378.22,574.27,209.75
AT1G02370,141.61,208.27,359.76,153.92,95.56,89.42,129.92,115.22
AT1G02390,56.65,53.9,53.26,30.86,28,28.51,32.84,34.25
AT1G02400,112.5,132.44,198.58,76.39,119.3,85.41,119.92,191.39
AT1G02410,173.78,213.83,239.29,395.36,351.66,454.19,562.45,377.06
AT1G02420,59.67,71.32,59.74,63.81,53.32,51.88,46.01,55.43
AT1G02430,44.47,32.35,29.72,62.37,56.96,45.48,75.52,54.18
AT1G02450,26.99,27.64,24.34,26.1,27.46,25.66,25.12,25.99
AT1G02475,142.92,130.82,126.51,136.73,163.47,199.41,90.68,144.72
AT1G02500,4056.87,3432.97,4886.53,3717.26,2109.21,3000.98,2653.99,1798.17
AT1G02530,80.72,70.34,134.44,73.27,40.99,34.06,40.99,59.96
AT1G02560,1310.34,620.7,679.55,1406.7,987.37,1063.59,1058.96,1199.84
AT1G02570,38,40.22,46.65,41.12,37.25,42.46,39.84,38.87
AT1G02620,104.96,98.45,100.37,71.76,74.38,72.9,69.2,88.88
AT1G02640,2316.87,1399.09,1166.22,1550.58,447.83,552.28,528.38,255.67
AT1G02660,114.21,191.16,233.78,69,86.57,69.42,97.7,61.56
AT1G02680,25.36,40.2,29.96,52.87,66.19,66.03,80.39,61.35
AT1G02690,432.85,466.26,514.27,625.68,352.16,344.5,406.78,210.74
AT1G02700,26.34,23.18,24.96,26.47,27.4,32.53,26.8,25.32
AT1G02720,185.44,319.97,178.41,155.35,162.76,169.58,214.95,137.05
AT1G02730,586.27,426.67,1011.64,562.47,344.73,225.03,326.47,96.85
AT1G02740,179.54,132.35,156.92,286.87,286.78,269.11,267.54,326.97
AT1G02750,58.47,58.94,91.53,188.67,181.62,167.33,154.26,180.02
AT1G02780,5279.6,8251.9,10055.29,10572.73,14810.67,12990.79,17774.16,7438.06
AT1G02810,862.08,1469.01,1770.41,488.76,1171.29,553.43,1093.82,1976.51
AT1G02813,22.4,22.25,31.65,18.48,23.33,17.74,18.81,19.35
AT1G02816,106.48,119.09,111.48,172.15,261.22,228.48,297.01,437.14
AT1G02820,22.32,32.99,31.67,34.28,35.58,35.64,35.57,38.09
AT1G02840,1887.91,1306.25,1487.6,1722.39,1832.2,1530.65,2255.49,1519.1
AT1G02850,83.23,191.05,117.88,58.44,166.56,93.48,94.94,161.27
AT1G02860,1166.37,1069.68,597.27,1276.17,797.38,445.17,717.08,673.67
AT1G02870,68.76,97.43,75.47,234.07,246.87,220.58,324.54,104.65
AT1G02890,158.09,101.39,150.23,572.82,298.08,552.34,336.48,541.67
AT1G02900,371.2,437.21,802.09,1356.22,984.4,858.58,1206.14,1639.82
AT1G02910,133.37,105.59,203.83,156.64,151.56,119.88,159.37,184.18
AT1G02930,152.47,103.73,237.89,395.16,562.67,148.81,363.15,1453.58
AT1G02940,18.18,20.12,20.85,17.07,18.38,18.01,18.25,18.55
AT1G02950,88.63,98.15,48.25,239.49,88.1,50.75,83.14,41.68
AT1G02960,155.7,191.59,271.59,185.07,306.02,249.38,285.99,183.56
AT1G02970,156.4,82.89,82.12,114.39,81.3,63.13,87.21,58.23
AT1G03000,340.99,300.77,302.68,279.91,255.42,256.66,286.79,279.12
