ClusterID NumberOfMembers Genes Species
75143606 NA Solyc00g005096.1 Sly
75153619 NA Solyc00g005096.1 Sly
75162959 NA Solyc00g005285.1 Sly
75162959 NA Solyc00g005285.1 Sly
75160913 NA Solyc00g005287.1 Sly
75151936 NA Solyc00g005445.1 Sly
75162264 NA Solyc00g005445.1 Sly
75162923 NA Solyc00g006487.1 Sly
75156916 NA Solyc00g006805.1 Sly
75145463 NA Solyc00g007555.1 Sly
75156740 NA Solyc00g009141.1 Sly
75154290 NA Solyc00g010755.1 Sly
75162577 NA Solyc00g010755.1 Sly
75042873 NA Solyc00g013137.1 Sly
75042864 NA Solyc00g013155.1 Sly
75161116 NA Solyc00g014995.1 Sly
75144996 NA Solyc00g014995.1 Sly
75161116 NA Solyc00g014995.1 Sly
75147262 NA Solyc00g015733.1 Sly
75161264 NA Solyc00g020545.1 Sly
75161264 NA Solyc00g020545.1 Sly
75150662 NA Solyc00g022103.1 Sly
75150662 NA Solyc00g022107.1 Sly
75156803 NA Solyc00g026875.1 Sly
75143260 NA Solyc00g026905.1 Sly
75116210 NA Solyc00g026907.1 Sly
74537626 NA Solyc00g032035.1 Sly
75162946 NA Solyc00g032947.1 Sly
75162868 NA Solyc00g033885.1 Sly
75158778 NA Solyc00g036968.1 Sly
75163004 NA Solyc00g042854.1 Sly
75163004 NA Solyc00g042854.1 Sly
75145463 NA Solyc00g044755.1 Sly
75154781 NA Solyc00g052545.1 Sly
75157734 NA Solyc00g055985.1 Sly
75145463 NA Solyc00g066155.1 Sly
75139351 NA Solyc00g069887.1 Sly
74537142 NA Solyc00g075035.1 Sly
74535297 NA Solyc00g075035.1 Sly
75160585 NA Solyc00g090115.1 Sly
75136160 NA Solyc00g090115.1 Sly
75161145 NA Solyc00g095465.1 Sly
75161145 NA Solyc00g095465.1 Sly
75158777 NA Solyc00g104333.1 Sly
75158777 NA Solyc00g104333.1 Sly
75160027 NA Solyc00g108555.1 Sly
75150182 NA Solyc00g117655.1 Sly
75158404 NA Solyc00g128875.1 Sly
75163001 NA Solyc00g136565.1 Sly
75152884 NA Solyc00g136565.1 Sly
75163001 NA Solyc00g136565.1 Sly
75145463 NA Solyc00g143777.1 Sly
75161726 NA Solyc00g147577.1 Sly
75163006 NA Solyc00g157083.1 Sly
75162339 NA Solyc00g188853.1 Sly
75162339 NA Solyc00g188853.1 Sly
75161971 NA Solyc00g188857.1 Sly
75162953 NA Solyc00g244305.1 Sly
75162659 NA Solyc00g247305.1 Sly
75120790 NA Solyc00g294237.1 Sly
75162855 NA Solyc00g294237.1 Sly
75149856 NA Solyc00g322635.1 Sly
75162406 NA Solyc01g005295.1 Sly
75154181 NA Solyc01g005305.1 Sly
75156788 NA Solyc01g005385.1 Sly
75162327 NA Solyc01g005575.1 Sly
75162327 NA Solyc01g005575.1 Sly
75043985 NA Solyc01g005715.1 Sly
75163006 NA Solyc01g005715.1 Sly
75163006 NA Solyc01g005715.1 Sly
75163006 NA Solyc01g005755.1 Sly
